start_date,end_date,start_idx,end_idx,composite,pearson,dtw_distance,dtw_sim,pct_corr,rank
1990-02-02,1999-07-30,4,395,0.5485827357242368,0.8449600464421201,21139,0.4593100776689478,0.03796093820575471,1
1990-03-30,1999-09-24,12,403,0.5443524476336357,0.855520448167706,24211,0.4300014040453829,0.04433877271141954,2
1990-03-02,1999-08-27,8,399,0.5426895813701637,0.8526681110077379,22619,0.44391630358959877,0.01809112580160963,3
1990-01-05,1999-07-02,0,391,0.5425079780924931,0.8355919228401305,19550,0.4756903223269553,-0.0558895908225393,4
1990-05-25,1999-11-19,20,411,0.5394189178419103,0.8638410024399852,27566,0.40514319566480206,0.044451741306181194,5
1990-07-20,2000-01-14,28,419,0.5389528236055883,0.8611271574059287,32660,0.38335033091600634,0.08636493476159082,6
1990-06-22,1999-12-17,24,415,0.5331448581441467,0.8649814110727567,29855,0.39416572997961263,0.029726088342708647,7
1990-04-27,1999-10-22,16,407,0.5326231303468676,0.8591355671918077,25716,0.4171775003158691,-0.04842244349594532,8
1991-01-04,2000-06-30,52,443,0.5210102609422583,0.8611890159654647,49892,0.32133353215081806,0.10504233752506403,9
1990-10-12,2000-04-07,40,431,0.5208094266706531,0.8384321597345459,42475,0.3576349852448545,0.09171354977204242,10
1990-08-17,2000-02-11,32,423,0.5153547440747979,0.8526245989874827,35691,0.372804654089349,0.005960227995792671,11
1991-03-01,2000-08-25,60,451,0.5121412505854454,0.8787834507727643,55372,0.2995316163882982,0.059263160008984996,12
1990-09-14,2000-03-10,36,427,0.5065996809491153,0.8410115271717828,39103,0.3661271249194659,-0.013774719751631598,13
1991-02-01,2000-07-28,56,447,0.5020501917402775,0.8741481962517401,52658,0.3105242955056984,-0.021929059078122152,14
1990-12-07,2000-06-02,48,439,0.5008670082537672,0.8467453105782735,47223,0.3328267978159604,0.016711196289789596,15
1990-11-09,2000-05-05,44,435,0.4998106220010433,0.8422112188037207,44917,0.3451873529696255,-0.030011305736099204,16
1991-03-28,2000-09-22,64,455,0.4952918023559545,0.8760644229723056,58206,0.2887508914811915,-0.07436272530900248,17
1991-08-16,2001-02-09,84,475,0.4927024653756858,0.8649820641572913,67042,0.2425153940845675,0.09290074287653052,18
1991-04-26,2000-10-20,68,459,0.49075757891068983,0.8739899958323762,60487,0.27846308796034425,-0.006016093520295027,19
1991-05-24,2000-11-17,72,463,0.48656800454855414,0.8720397584015842,62440,0.26900032362240356,-0.011732373532599665,20
1991-07-19,2001-01-12,80,471,0.48572488391912627,0.8671319929085952,65389,0.2517745195252319,0.036972026382136175,21
1991-06-21,2000-12-15,76,467,0.48276267343450385,0.8703547114252407,63998,0.2602944379804158,-0.028640659704611736,22
1991-09-13,2001-03-09,88,479,0.4718690724393095,0.8534565424674257,68159,0.23521918990704102,0.027434559307517467,23
1991-10-11,2001-04-06,92,483,0.45288964125533127,0.8280353752098523,68930,0.22935349260256502,-0.06458592498845554,24
1991-12-06,2001-06-01,100,491,0.4425947424120857,0.7857040471748405,71229,0.21457694920810977,0.06962994480284497,25
1991-11-08,2001-05-04,96,487,0.4395865113757884,0.8038651193257501,69967,0.22242059336914533,-0.048685279378440305,26
1992-01-03,2001-06-29,104,495,0.4326694828272798,0.7649590601520173,72662,0.20604517694035115,0.08161046914874528,27
1992-01-31,2001-07-27,108,499,0.40024728901466067,0.7334964806633164,73487,0.20049677918905218,-0.018309727246293567,28
1992-02-28,2001-08-24,112,503,0.3840176831694897,0.7014597924226189,74233,0.1953165045123176,-0.07152701152091179,29
1992-03-27,2001-09-21,116,507,0.37914204986441213,0.6676676300401383,74730,0.19121039995020198,0.058839881818896114,30
1992-04-24,2001-10-19,120,511,0.35166457622510267,0.6360579736614976,75232,0.18696710879265352,-0.031146521339050465,31
1992-06-19,2001-12-14,128,519,0.3379293397515996,0.5866533505109794,76863,0.17569045868735772,0.0622183574054182,32
1992-05-22,2001-11-16,124,515,0.337217143038673,0.6081159402782458,75972,0.18161419975274973,-0.01969833218061261,33
1992-07-17,2002-01-11,132,523,0.31141138966178605,0.561313827274995,78188,0.1680576211086808,-0.0775640351183479,34
1992-08-14,2002-02-08,136,527,0.29938955422259556,0.5332708543408505,79026,0.16240415253262333,0.01288108191397327,35
1992-09-11,2002-03-08,140,531,0.2815072638098207,0.49867080026406146,79993,0.15630772125879316,0.01198850625207721,36
1992-10-09,2002-04-05,144,535,0.261579593150115,0.4641597764926249,80878,0.15059341065266788,-0.010036692543824693,37
1992-11-06,2002-05-03,148,539,0.24453279775164188,0.4329159866394518,82636,0.1420588678968245,-0.09972278495313759,38
1992-12-04,2002-05-31,152,543,0.2299520850093732,0.40634110361573783,84224,0.13456739537797477,-0.005969836460265562,39
1993-01-29,2002-07-26,160,551,0.22086096952869225,0.35117800461364196,85533,0.12669147968134292,0.09244424782041663,40
1992-12-31,2002-06-28,156,547,0.21614092577861227,0.378986185851768,84937,0.13027754898661897,-0.026942957437150257,41
1993-02-26,2002-08-23,164,555,0.19404128992143307,0.3211649290711039,86116,0.12321840090769277,0.03195315760871926,42
1993-03-26,2002-09-20,168,559,0.1724657508432813,0.29003498491466906,86689,0.11985716466194352,-0.07721290861074184,43
1993-04-23,2002-10-18,172,563,0.17119899878969844,0.26544471159607863,87317,0.11647561372035622,0.054912068846691864,44
1996-06-14,2003-12-12,232,623,0.14922075878268204,0.2459503963433244,105316,0.056333348342735644,0.09413204254114292,45
1993-05-21,2002-11-15,176,567,0.1485992441679968,0.24381455364613336,88566,0.1110934143635337,-0.0011625581056965181,46
1996-07-12,2004-01-09,236,627,0.141336011503897,0.2497351240702621,106014,0.05438355628767257,0.04960480485796824,47
1993-06-18,2002-12-13,180,571,0.13924588732260113,0.22580805640423893,89189,0.10752074840198171,-0.00046487351103597957,48
1996-03-22,2003-09-19,220,611,0.13351989124178215,0.214329670560037,103444,0.06197089910020886,0.07690862402346209,49
1996-09-06,2004-03-05,244,635,0.13126182546875212,0.24358058784932846,108917,0.04821715689427957,0.023872780117782173,50
1993-07-16,2003-01-10,184,575,0.12989176157715038,0.2080707984994596,89987,0.10359972072112442,-0.04801592407457575,51
1996-08-09,2004-02-06,240,631,0.12906685119130598,0.24760322678367636,108025,0.05041542611043322,-0.042651306880792585,52
1996-05-17,2003-11-14,228,619,0.12608391704587787,0.23506881241365804,104729,0.0580084327420907,-0.004135977922108362,53
1993-12-30,2003-06-27,208,599,0.1258044864418601,0.1835185761031331,95030,0.08138543429070261,0.07368112596852137,54
1996-11-29,2004-05-28,256,647,0.1240550549659584,0.20862495627272068,112248,0.04168201698219213,0.07792559349733427,55
1996-04-19,2003-10-17,224,615,0.12185666674557478,0.22420798119643018,104096,0.0598945005919463,-0.04568817612382622,56
1996-10-04,2004-04-02,248,639,0.12114819336598574,0.23450608785860177,111032,0.04462986808461412,-0.032923307881424856,57
1993-08-13,2003-02-07,188,579,0.12069017440578875,0.19079712813007224,90921,0.09951847642073212,-0.032036572743241135,58
1993-11-05,2003-05-02,200,591,0.1175263907428422,0.16741251981902552,93213,0.08917498495315497,0.05489756045338239,59
1996-11-01,2004-04-30,252,643,0.11610935718455333,0.22451777252517136,111680,0.043075312994932044,-0.013151874058077283,60
1993-12-03,2003-05-30,204,595,0.11216097954583613,0.1756336927873174,94027,0.08550787814086822,0.015990302211197058,61
1996-02-23,2003-08-22,216,607,0.11142778764143882,0.1973172971225805,102459,0.06467143981793598,-0.022583510760529155,62
1993-09-10,2003-03-07,192,583,0.1110785221816531,0.17252962038531008,91887,0.09554340859503872,-0.061638805008709274,63
1996-01-26,2003-07-25,212,603,0.10848630549901078,0.18862438000978013,101439,0.06744381284174206,-0.01864488486490674,64
1993-10-08,2003-04-04,196,587,0.10641820239248534,0.16487176838171222,92661,0.09207401891632813,-0.037910656171659465,65
1996-12-27,2004-06-25,260,651,0.1051217799291574,0.18692132457331054,112843,0.040312108408225085,0.034489729641444485,66
1997-01-24,2004-07-23,264,655,0.09363347230938313,0.1599006342424028,113342,0.039147770237424835,0.03988233658601582,67
1997-02-21,2004-08-20,268,659,0.08907234029801728,0.1274551456816436,113613,0.0383743902881305,0.09143244070215995,68
1997-03-21,2004-09-17,272,663,0.06366494257506358,0.09183226073046993,113960,0.03739889252907782,0.04625406430587439,69
1997-04-18,2004-10-15,276,667,0.03608054187099449,0.052070663944607014,114448,0.03613926598834667,-0.07497480211750777,70
1997-05-16,2004-11-12,280,671,0.02978490131047172,0.01968748679384778,115018,0.03482975606332972,0.043675588155374076,71
1997-08-08,2005-02-04,292,683,0.020867861668550175,-0.0825152820686625,116352,0.03212688995480177,0.04811725092184778,72
1997-10-31,2005-04-29,304,695,0.019122714502453834,-0.20147323173690568,116954,0.030871408289904305,0.04158860800493665,73
1998-03-20,2005-09-16,324,715,0.01772063195078679,-0.3556757731691912,118945,0.027692537130842444,0.04014121977495967,74
1998-02-20,2005-08-19,320,711,0.015787401097909916,-0.32396108459185086,118617,0.028144225232919217,0.029684611331940957,75
1997-06-13,2004-12-10,284,675,0.011798213686500704,-0.014370226697223692,115574,0.033709181961430586,-0.08632918499409216,76
1997-07-11,2005-01-07,288,679,0.011470777077887743,-0.04730406231016448,116035,0.03277364879396498,-0.05077551129877819,77
1998-06-12,2005-12-09,336,727,0.011067776227725389,-0.4291598584998797,119820,0.026608087994661397,0.008774727147969499,78
1997-09-05,2005-03-04,296,687,0.011038631313710742,-0.1253605883556117,116648,0.03153894661060212,-0.04734844936171797,79
1997-10-03,2005-04-01,300,691,0.01090487283565088,-0.1644119210464348,116824,0.031156779530431087,-0.02539005031474543,80
1997-11-28,2005-05-27,308,699,0.010607743589982057,-0.23853308729273484,117262,0.030307838828520166,-0.0874620122396318,81
1997-12-26,2005-06-24,312,703,0.010361589256326638,-0.26852614335550956,117679,0.029604540732361826,-0.009445696467355129,82
1998-01-23,2005-07-22,316,707,0.01007352780713156,-0.2939378257153904,118188,0.028781508020375886,-0.03972103946641151,83
1998-04-17,2005-10-14,328,719,0.009577742954890344,-0.3868247717343618,119193,0.02736497987111527,-0.0013457909155762103,84
1998-05-15,2005-11-11,332,723,0.00947671761568174,-0.40923523666426526,119426,0.027076336044804975,-0.024258500624887942,85
